ISN_DOB_BIS_VIOL,BORO,BLOCK,LOT,ISSUE_DATE,VIOLATION_TYPE_CODE,VIOLATION_NUMBER,HOUSE_NUMBER,STREET,DISPOSITION_DATE,DISPOSITION_COMMENTS,VIOLATION_CATEGORY,VIOLATION_TYPE
2475144,4,372,22,20200825,C,20-01190,30-16,37 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474952,3,4659,46,20200823,C,CNE02DG,211,EAST 53 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474861,3,3439,19,20200821,C,20-01185,76,COOPER STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474872,5,5253,25,20200821,C,CER02FC,12,HOLLY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474864,4,2477,5,20200821,C,E40401NB,84-14,QUEENS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474657,4,11238,67,20200820,C,20-01179,221-43,113 DRIVE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475078,3,4829,1,20200820,C,0901VB,451,CLARKSON AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474580,3,898,23,20200819,C,20-01177,328,21 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474483,1,1628,68,20200818,C,20-01170,112,EAST 101 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474467,2,2849,1,20200818,C,20-01171,1700,JEROME AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475136,3,7654,1,20200817,C,1802RH,3623,AVENUE M,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474457,2,4706,16,20200817,C,20-01172,1131,EAST 211 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474845,3,1265,74,20200817,C,0801VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474958,3,1265,74,20200817,C,0802VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474843,3,1265,74,20200817,C,0803VB,803,EASTERN PARKWAY,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474433,1,1244,8,20200817,C,20-01167,307,WEST 79 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474435,4,3724,74,20200815,C,CNE01FC,78-35,65 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474436,4,3724,73,20200815,C,CNE02FC,78-37,65 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474197,1,838,1,20200814,C,20-01163,990,6 AVENUE,20200820,SWO RESCINDED BY BOROUGH COMMISSIONER.,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2474199,1,838,1,20200814,C,20-01162,990,6 AVENUE,20200819,OK TO DISMISSED BORO. COMM. SWO         RESCINDED.,V*-DOB VIOLATION - DISMISSED,C-CONSTRUCTION
2474195,3,1217,83,20200814,C,CC08PC02,545,ST MARKS AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474205,1,1970,16,20200814,C,20-01164,450,WEST 131 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474173,4,2711,71,20200813,C,CCVM03,61-56,56 DRIVE,,,VP-VIOLATION UNSERVED ECB-ACTIVE,C-CONSTRUCTION
2474249,3,5071,22,20200813,C,CN1401RA,38,STRATFORD ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474557,1,1005,7501,20200813,C,LL10501RF,135,WEST 52 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474108,1,1167,10,20200813,C,CC07CZ03,241,WEST 75 STREET,,,VP-VIOLATION UNSERVED ECB-ACTIVE,C-CONSTRUCTION
2474202,3,6270,39,20200812,C,20-01165,7904,16 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474076,1,774,1,20200812,C,ER01MP,282,8 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475137,3,7331,46,20200812,C,1501RH,2613,AVENUE U,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474084,2,3061,119,20200812,C,NE01FC,551,EAST 179 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474086,2,3061,119,20200812,C,NE02KC,551,EAST 179 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474092,3,1850,15,20200812,C,ER02SM,94,MACON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474090,3,1850,13,20200812,C,ER01SM,1,VERONA PLACE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473645,3,1971,35,20200811,C,CC03JL02,151,QUINCY STREET,20200811,OK TO DISMISS. VIOLATIONS WERE ENTERED  UNDER INCORRECT ADDRESS,VP*-VIOLATION UNSERVED ECB- DISMISSED,C-CONSTRUCTION
2473646,3,1971,35,20200811,C,CC03JL03,151,QUINCY STREET,20200811,OK TO DISMISS. VIOLATIONS ENTERED UNDER INCORRECT ADDRESS.,VP*-VIOLATION UNSERVED ECB- DISMISSED,C-CONSTRUCTION
2474075,1,1456,1,20200810,C,ER01ND,1114,1 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473853,4,11654,23,20200810,C,ER01TQ,114-38,128 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474437,4,11654,22,20200810,C,CER02TQ,114-36,128 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473500,1,915,2,20200810,C,E10601MM,509,3 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474948,3,427,46,20200810,C,CEU30601NH,200,4 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473616,1,199,27,20200810,C,20-01149,96,BAYARD STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475083,3,1443,44,20200810,C,1603VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475084,3,1443,44,20200810,C,1602VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2475086,3,1443,44,20200810,C,1601VB,2427,DEAN STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474096,2,2745,35,20200810,C,20-01159,1165,HOE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474438,4,13114,41,20200809,C,CNE04DG,136-20,221 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473840,4,9312,55,20200809,C,20-01146,104-19,93 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473622,4,5211,140,20200809,C,20-01154,46-31,BOWNE STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474056,3,7334,77,20200809,C,ER01TQ,2019,EAST 29 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474057,3,4865,11,20200809,C,ER03TQ,292,EAST 45 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474058,3,4865,8,20200809,C,ER04TQ,286,EAST 45 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474052,4,15683,1,20200809,C,ER03CM,14-21,GRANADA PLACE,,DELETED BY KGO ON 08/13/20 BECAUSE CORRECTION OF DESCRIPTION,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473888,4,10433,16,20200809,C,NE01DG,187-15,HILLBURN AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473490,3,1279,72,20200809,C,20-01145,1417,PRESIDENT STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474047,3,6263,50,20200808,C,ER04LP,2069,79 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474070,4,10466,124,20200808,C,ER04ND,197-15,91 ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473854,2,5536,29,20200808,C,ER01TH,1001,BRINSMADE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474434,3,3401,33,20200808,C,CER12LP,1254,BUSHWICK AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474072,3,8277,10,20200808,C,ER01ND,1593,CANARSIE ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474071,5,211,73,20200808,C,ER04JM,601,CARY AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474045,3,5237,134,20200808,C,ER03JM,684,EAST 17 STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474048,4,11976,65,20200808,C,ER03LP,114-11,INWOOD STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473899,5,224,76,20200808,C,ER11LP,239,MYRTLE AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473927,4,4414,99,20200807,C,E0701MA,140-03,32 AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473515,3,2015,10,20200807,C,20-01140,445,GRAND AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473337,4,11725,3,20200807,C,CNE01EC,130-52,LEFFERTS BOULEVARD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2474054,3,4842,33,20200807,C,ER02LP,471,LENOX ROAD,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473346,4,3459,35,20200807,C,20-01135,1829,MADISON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473492,3,2706,23,20200807,C,20-01142,673,MEEKER AVENUE,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
2473495,1,410,50,20200807,C,NE01EC,111,RIVINGTON STREET,,,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION
