the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000000067C52C000000080F14C4440,921,0101000020110F000072FD7B67D1655FC1E5E0DBF294E55241,40.6011199951172,-73.9378662109375,Brooklyn,NB,New Building,321951697,3199213,NB,4467232,false,30184,9/30/2020,9/4/2021 12:00,3025,AVENUE U,315,B. WARRANTY HOME CONS,MERCANTILE,3,0
0101000020E6100000000000003F7D52C0000000406E4A4440,626,0101000020110F0000BB9BF410E5675FC166422C85C5E25241,40.5814895629883,-73.9569702148438,Brooklyn,NB,New Building,321909663,3245362,NB,3103264,false,20968,10/19/2020,8/7/2021 12:00,50,BRIGHTON 11 STREET,313,BUILD R US CORP,BUSINESS,4,
0101000020E6100000000000A0576F52C0000000C0F84C4440,924,0101000020110F0000E510101C47505FC18CEBF70E9DE55241,40.6013412475586,-73.7397232055664,Queens,A1,ALT 1 Enlargement,421535798,4298699,A1,984000,true,4646,3/27/2020,3/20/2021 12:00,583,CEDAR HILL RD,414,AMMK INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
0101000020E6100000000000C0F77B52C0000000A02C5B4440,3624,0101000020110F0000083FFD32B9655FC169D45E8383F55241,40.7122993469238,-73.9369964599609,Brooklyn,NB,New Building,321527344,3070772,NB,707292,false,4779,12/15/2020,1/1/2022 12:00,315,MAUJER STREET,301,"JOHN O'HARA CO., INC",BUSINESS,2,0
0101000020E6100000000000209F7F52C000000020ED594440,3411,0101000020110F00006DF21907EE6B5FC17E13A28D1DF45241,40.7025489807129,-73.9940872192383,Brooklyn,NB,New Building,320915863,3839660,NB,871720,false,5890,11/23/2020,3/15/2021 12:00,20,OLD FULTON STREET,302,L1C CORP,MERCANTILE,1,
0101000020E6100000000000A0577452C0000000E0245A4440,3457,0101000020110F000009488451C5585FC1A3CBA9025CF45241,40.7042503356934,-73.8178482055664,Queens,NB,New Building,420663231,4618904,NB,2704256,false,18272,7/1/2020,6/13/2021 12:00,136-21,HILLSIDE AVENUE,409,BOLEX.GC CORP,BUSINESS,3,0
0101000020E610000000000000637452C0000000604E5C4440,3911,0101000020110F00003A7DD7A3D8585FC13FE6EE2FC8F65241,40.7211418151855,-73.8185424804688,Queens,NB,New Building,420348804,4545475,NB,3445884,false,23283,9/30/2020,7/27/2021 12:00,77-11,MAIN STREET,408,DOPPLER INNOVATIONS INC,ASSEMBLY: OTHER,3,
0101000020E6100000000000405D7D52C000000040125D4440,4112,0101000020110F00006E34EB7218685FC144DB21B2A3F75241,40.7271194458008,-73.9588165283203,Brooklyn,NB,New Building,321231412,3425624,NB,44129160,false,298170,9/8/2020,9/17/2021 12:00,29,WEST STREET,301,NINTH AVE CONSTRUCTION GR,BUSINESS,14,216
0101000020E610000000000060737D52C0000000E0E55E4440,4465,0101000020110F000048F0CA073E685FC1394293D2AFF95241,40.7413902282715,-73.9601669311523,Queens,NB,New Building,420663703,4617913,NB,60715372,false,410239,1/9/2020,1/9/2021 12:00,52-41,CENTER BOULEVARD,402,52-41 CENTER GC LLC,RESIDENTIAL: APARTMENT HOUSES,46,394
0101000020E6100000000000209E7C52C0000000A07D5F4440,4593,0101000020110F0000E686C9CDD3665FC1D736A6EE59FA5241,40.746021270752,-73.947151184082,Queens,NB,New Building,421369209,4000558,NB,726680,false,4910,10/21/2020,10/10/2021 12:00,21-19,46 AVENUE,402,BK BUILDERS LLC,RESIDENTIAL: APARTMENT HOUSES,4,6
